ons_id,constituency_name,region_name,country_name,constituency_type,time_recorded,result,party_abbreviation,party_name,title,firstname,surname,middlenames,mnis_id,gender,candidate_type,old_constituency
W07000081,Aberafan Maesteg,Wales,Wales,County,7/5/24 4:07,Lab hold,Lab,Labour,,Stephen,Kinnock,,4359,Male,Re-elected Member,Aberavon
S14000060,Aberdeen North,Scotland,Scotland,Borough,7/5/24 5:00,SNP hold,SNP,Scottish National Party,,Kirsty,Blackman,Ann,4357,Female,Re-elected Member,Aberdeen North
S14000061,Aberdeen South,Scotland,Scotland,Borough,7/5/24 5:02,SNP hold,SNP,Scottish National Party,,Stephen,Flynn,Mark,4735,Male,Re-elected Member,Aberdeen South
S14000062,Aberdeenshire North and Moray East,Scotland,Scotland,County,7/5/24 5:47,SNP gain from Con,SNP,Scottish National Party,,Seamus,Logan,,,Male,New member,
S14000063,Airdrie and Shotts,Scotland,Scotland,County,7/5/24 5:04,Lab gain from SNP,Lab,Labour,,Kenneth,Stevenson,,,Male,New member,
E14001063,Aldershot,South East,England,Borough,7/5/24 4:48,Lab gain from Con,Lab,Labour,,Alex,Baker,,,Female,New member,
E14001064,Aldridge-Brownhills,West Midlands,England,Borough,7/5/24 5:45,Con hold,Con,Conservative,,Wendy,Morton,,4358,Female,Re-elected Member,Aldridge-Brownhills
S14000064,Alloa and Grangemouth,Scotland,Scotland,County,7/5/24 5:06,Lab gain from SNP,Lab,Labour,,Brian,Leishman,,,Male,New member,
E14001065,Altrincham and Sale West,North West,England,Borough,7/5/24 4:37,Lab gain from Con,Lab,Labour,Mr,Connor,Rand,Dean,,Male,New member,
W07000082,Alyn and Deeside,Wales,Wales,County,7/5/24 4:16,Lab hold,Lab,Labour,,Mark,Tami,,1383,Male,Re-elected Member,Alyn and Deeside
E14001066,Amber Valley,East Midlands,England,County,7/5/24 3:53,Lab gain from Con,Lab,Labour,,Linsey,Farnsworth,Jayne,,Female,New member,
S14000065,Angus and Perthshire Glens,Scotland,Scotland,County,7/5/24 8:11,SNP hold,SNP,Scottish National Party,,Dave,Doogan,Michael,4736,Male,Re-elected Member,Angus
S14000066,Arbroath and Broughty Ferry,Scotland,Scotland,County,7/5/24 6:04,SNP hold,SNP,Scottish National Party,,Stephen,Gethins,Patrick,4434,Male,Historical member,
S14000067,"Argyll, Bute and South Lochaber",Scotland,Scotland,County,7/5/24 6:49,SNP hold,SNP,Scottish National Party,,Brendan,O'Hara,,4371,Male,Re-elected Member,Argyll and Bute
E14001067,Arundel and South Downs,South East,England,County,7/5/24 6:05,Con hold,Con,Conservative,,Andrew,Griffith,,4874,Male,Re-elected Member,Arundel and South Downs
E14001068,Ashfield,East Midlands,England,County,7/5/24 2:30,RUK gain from Con,RUK,Reform UK,,Lee,Anderson,John,4743,Male,Re-elected Member,Ashfield
E14001069,Ashford,South East,England,County,7/5/24 5:25,Lab gain from Con,Lab,Labour,,Sojan,Joseph,,,Male,New member,
E14001070,Ashton-under-Lyne,North West,England,Borough,7/5/24 3:18,Lab hold,Lab,Labour,Ms,Angela,Rayner,,4356,Female,Re-elected Member,Ashton-under-Lyne
E14001071,Aylesbury,South East,England,County,7/5/24 6:47,Lab gain from Con,Lab,Labour,,Laura,Kyrke-Smith,Elizabeth,,Female,New member,
S14000107,"Ayr, Carrick and Cumnock",Scotland,Scotland,County,7/5/24 5:08,Lab gain from SNP,Lab,Labour,,Elaine,Stewart,,,Female,New member,
E14001072,Banbury,South East,England,County,7/5/24 6:25,Lab gain from Con,Lab,Labour,,Sean,Woodcock,Lee,,Male,New member,
W07000083,Bangor Aberconwy,Wales,Wales,County,7/5/24 3:45,Lab gain from Con,Lab,Labour,,Claire,Hughes,,,Female,New member,
E14001073,Barking,London,England,Borough,7/5/24 4:48,Lab hold,Lab,Labour,,Nesil,Caliskan,,,Female,New member,
E14001074,Barnsley North,Yorkshire and The Humber,England,County,7/5/24 2:28,Lab hold,Lab,Labour,,Dan,Jarvis,,4243,Male,Re-elected Member,Barnsley Central
E14001075,Barnsley South,Yorkshire and The Humber,England,County,7/5/24 2:25,Lab hold,Lab,Labour,,Stephanie,Peacock,Louise,4607,Female,Re-elected Member,Barnsley East
E14001076,Barrow and Furness,North West,England,County,7/5/24 2:59,Lab gain from Con,Lab,Labour,,Michelle,Scrogham,,,Female,New member,
E14001077,Basildon and Billericay,East of England,England,Borough,7/5/24 4:45,Con hold,Con,Conservative,,Richard,Holden,John,4813,Male,Re-elected Member,North West Durham
E14001078,Basingstoke,South East,England,Borough,7/5/24 5:27,Lab gain from Con,Lab,Labour,,Luke,Murphy,,,Male,New member,
E14001079,Bassetlaw,East Midlands,England,County,7/5/24 3:59,Lab gain from Con,Lab,Labour,,Jo,White,,,Female,New member,
E14001080,Bath,South West,England,County,7/5/24 4:35,LD hold,LD,Liberal Democrat,,Wera,Hobhouse,Benedicta,4602,Female,Re-elected Member,Bath
S14000068,Bathgate and Linlithgow,Scotland,Scotland,County,7/5/24 5:10,Lab gain from SNP,Lab,Labour and Co-operative,,Kirsteen,Sullivan,Ann,,Female,New member,
E14001081,Battersea,London,England,Borough,7/5/24 2:55,Lab hold,Lab,Labour,,Marsha,De Cordova,Chantol,4676,Female,Re-elected Member,Battersea
E14001082,Beaconsfield,South East,England,County,7/5/24 7:29,Con hold,Con,Conservative,,Joy,Morrissey,,4759,Female,Re-elected Member,Beaconsfield
E14001083,Beckenham and Penge,London,England,Borough,7/5/24 4:22,Lab hold,Lab,Labour,,Liam,Conlon,,,Male,New member,
E14001084,Bedford,East of England,England,Borough,7/5/24 5:32,Lab hold,Lab,Labour,,Mohammad,Yasin,,4598,Male,Re-elected Member,Bedford
N05000001,Belfast East,Northern Ireland,Northern Ireland,Borough,7/5/24 5:43,DUP hold,DUP,Democratic Unionist Party,,Gavin,Robinson,,4360,Male,Re-elected Member,Belfast East
N05000002,Belfast North,Northern Ireland,Northern Ireland,Borough,7/5/24 4:57,SF hold,SF,Sinn Fein,,John,Finucane,,4823,Male,Re-elected Member,Belfast North
N05000003,Belfast South and Mid Down,Northern Ireland,Northern Ireland,Borough,7/5/24 5:57,SDLP hold,SDLP,Social Democratic and Labour Party,,Claire,Hanna,,4827,Female,Re-elected Member,Belfast South
N05000004,Belfast West,Northern Ireland,Northern Ireland,Borough,7/5/24 6:23,SF hold,SF,Sinn Fein,,Paul,Maskey,,4245,Male,Re-elected Member,Belfast West
E14001085,Bermondsey and Old Southwark,London,England,Borough,7/5/24 3:21,Lab hold,Lab,Labour,,Neil,Coyle,,4368,Male,Re-elected Member,Bermondsey and Old Southwark
S14000108,"Berwickshire, Roxburgh and Selkirk",Scotland,Scotland,County,7/5/24 5:12,Con hold,Con,Conservative,,John,Lamont,Robert,4608,Male,Re-elected Member,"Berwickshire, Roxburgh and Selkirk"
E14001086,Bethnal Green and Stepney,London,England,Borough,7/5/24 5:51,Lab hold,Lab,Labour,,Rushanara,Ali,,4138,Female,Re-elected Member,Bethnal Green and Bow
E14001087,Beverley and Holderness,Yorkshire and The Humber,England,County,7/5/24 6:38,Con hold,Con,Conservative,,Graham,Stuart,,1482,Male,Re-elected Member,Beverley and Holderness
E14001088,Bexhill and Battle,South East,England,County,7/5/24 4:50,Con hold,Con,Conservative,,Kieran,Mullan,John,4860,Male,Re-elected Member,Crewe and Nantwich
E14001089,Bexleyheath and Crayford,London,England,Borough,7/5/24 5:01,Lab gain from Con,Lab,Labour,,Daniel,Francis,,,Male,New member,
E14001090,Bicester and Woodstock,South East,England,County,7/5/24 7:05,LD gain from Con,LD,Liberal Democrat,,Calum,Miller,Alexander,,Male,New member,
E14001091,Birkenhead,North West,England,Borough,7/5/24 3:50,Lab hold,Lab,Labour,,Alison,McGovern,,4083,Female,Re-elected Member,Wirral South
E14001092,Birmingham Edgbaston,West Midlands,England,Borough,7/5/24 7:37,Lab hold,Lab,Labour and Co-operative,,Preet,Gill,Kaur,4603,Female,Re-elected Member,"Birmingham, Edgbaston"
E14001093,Birmingham Erdington,West Midlands,England,Borough,7/5/24 5:46,Lab hold,Lab,Labour,Mrs,Paulette,Hamilton,Adassa,4938,Female,Re-elected Member,"Birmingham, Erdington"
E14001094,Birmingham Hall Green and Moseley,West Midlands,England,Borough,7/5/24 6:11,Lab hold,Lab,Labour,,Tahir,Ali,,4747,Male,Re-elected Member,"Birmingham, Hall Green"
E14001095,Birmingham Hodge Hill and Solihull North,West Midlands,England,Borough,7/5/24 4:55,Lab hold,Lab,Labour,,Liam,Byrne,Dominic,1171,Male,Re-elected Member,"Birmingham, Hodge Hill"
E14001096,Birmingham Ladywood,West Midlands,England,Borough,7/5/24 6:46,Lab hold,Lab,Labour,,Shabana,Mahmood,,3914,Female,Re-elected Member,"Birmingham, Ladywood"
E14001097,Birmingham Northfield,West Midlands,England,Borough,7/5/24 5:19,Lab gain from Con,Lab,Labour,,Laurence,Turner,David Russell,,Male,New member,
E14001098,Birmingham Perry Barr,West Midlands,England,Borough,7/5/24 8:19,Ind gain from Lab,Ind,Independent,,Ayoub,Khan,,,Male,New member,
E14001099,Birmingham Selly Oak,West Midlands,England,Borough,7/5/24 5:15,Lab hold,Lab,Labour,,Al,Carns,,,Male,New member,
E14001100,Birmingham Yardley,West Midlands,England,Borough,7/5/24 6:29,Lab hold,Lab,Labour,,Jess,Phillips,,4370,Female,Re-elected Member,"Birmingham, Yardley"
E14001101,Bishop Auckland,North East,England,County,7/5/24 4:16,Lab gain from Con,Lab,Labour,,Sam,Rushworth,,,Male,New member,
E14001102,Blackburn,North West,England,Borough,7/5/24 5:13,Ind gain from Lab,Ind,Independent,Mr,Adnan,Hussain,,,Male,New member,
E14001103,Blackley and Middleton South,North West,England,Borough,7/5/24 5:20,Lab hold,Lab,Labour,,Graham,Stringer,Eric,449,Male,Re-elected Member,Blackley and Broughton
E14001104,Blackpool North and Fleetwood,North West,England,Borough,7/5/24 4:58,Lab gain from Con,Lab,Labour,Mrs,Lorraine,Beavers,,,Female,New member,
E14001105,Blackpool South,North West,England,Borough,7/5/24 2:28,Lab gain from Con,Lab,Labour,Mr,Chris,Webb,,5025,Male,Re-elected Member,Blackpool South
W07000084,Blaenau Gwent and Rhymney,Wales,Wales,County,7/5/24 5:30,Lab hold,Lab,Labour,,Nick,Smith,,3928,Male,Re-elected Member,Blaenau Gwent
E14001106,Blaydon and Consett,North East,England,County,7/5/24 4:25,Lab hold,Lab,Labour,,Liz,Twist,,4618,Female,Re-elected Member,Blaydon
E14001107,Blyth and Ashington,North East,England,County,7/4/24 23:51,Lab hold,Lab,Labour,,Ian,Lavery,,4139,Male,Re-elected Member,Wansbeck
E14001108,Bognor Regis and Littlehampton,South East,England,Borough,7/5/24 5:13,Con hold,Con,Conservative,,Alison,Griffiths,,,Female,New member,
E14001109,Bolsover,East Midlands,England,County,7/5/24 3:10,Lab gain from Con,Lab,Labour,,Natalie,Fleet,Sarah,,Female,New member,
E14001110,Bolton North East,North West,England,Borough,7/5/24 4:04,Lab gain from Con,Lab,Labour,,Kirith,Entwistle,,,Female,New member,
E14001111,Bolton South and Walkden,North West,England,Borough,7/5/24 3:29,Lab hold,Lab,Labour,,Yasmin,Qureshi,,3924,Female,Re-elected Member,Bolton South East
E14001112,Bolton West,North West,England,County,7/5/24 3:40,Lab gain from Con,Lab,Labour,Mr,Phil,Brickell,,,Male,New member,
E14001113,Bootle,North West,England,Borough,7/5/24 2:44,Lab hold,Lab,Labour,Mr,Peter,Dowd,,4397,Male,Re-elected Member,Bootle
E14001114,Boston and Skegness,East Midlands,England,County,7/5/24 4:23,RUK gain from Con,RUK,Reform UK,,Richard,Tice,,,Male,New member,
E14001115,Bournemouth East,South West,England,Borough,7/5/24 5:13,Lab gain from Con,Lab,Labour,,Tom,Hayes,,,Male,New member,
E14001116,Bournemouth West,South West,England,Borough,7/5/24 5:11,Lab gain from Con,Lab,Labour,,Jessica,Toale,Jade,,Female,New member,
E14001117,Bracknell,South East,England,Borough,7/5/24 4:38,Lab gain from Con,Lab,Labour,,Peter,Swallow,,,Male,New member,
